,name,company description,rating,review,salaries,no. of job opening
149,SBI Life Insurance Company,Insurance | 10k-50k Employees | 22 years old | Mumbai +483 more,3.8,2.8k Reviews,10.1k Salaries,1 Jobs
150,Ekart Logistics,Logistics | 5k-10k Employees | 14 years old | San Francisco +499 more,4.1,2.8k Reviews,7.6k Salaries,1 Jobs
151,Optum,Healthcare | 10k-50k Employees | 46 years old | Prairie +22 more,4.1,2.7k Reviews,20.5k Salaries,25 Jobs
152,Aditya Birla Fashion and Retail,Retail | 10k-50k Employees | Fortune India 500 | 8 years old | Mumbai +212 more,4.2,2.7k Reviews,12k Salaries,52 Jobs
153,Godrej & Boyce Manufacturing,FMCG | 10k-50k Employees | Fortune India 500 | 126 years old | Mumbai +122 more,3.9,2.7k Reviews,17.1k Salaries,66 Jobs
154,Muthoot Fincorp,NBFC | 10k-50k Employees | Conglomerate | 136 years old | Trivandrum/Thiruvananthapuram +502 more,4.0,2.7k Reviews,8.1k Salaries,44 Jobs
155,Royal Enfield,Automobile | 1k-5k Employees | 122 years old | Gurgaon/Gurugram +275 more,4.2,2.7k Reviews,14.2k Salaries,17 Jobs
156,Tata Communications,Telecom | 5k-10k Employees | Public | 37 years old | Mumbai +82 more,4.2,2.7k Reviews,21.6k Salaries,452 Jobs
157,Piramal Capital Housing Finance,NBFC | 5k-10k Employees | 3 years old | Mumbai +293 more,4.3,2.7k Reviews,9k Salaries,21 Jobs
158,LG Electronics,Consumer Electronics & Appliances | 10k-50k Employees | Public | 65 years old | Seoul +224 more,4.0,2.7k Reviews,10.6k Salaries,6 Jobs
159,John Deere,IT Services & Consulting | 5k-10k Employees | Fortune India 500 | 22 years old | Moline +104 more,4.3,2.7k Reviews,13.6k Salaries,-- Jobs
160,L&T Finance,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +439 more,3.9,2.6k Reviews,10.6k Salaries,-- Jobs
161,Whitehat jr,EdTech | 5k-10k Employees | Startup | 5 years old | Mumbai +47 more,3.6,2.6k Reviews,9.5k Salaries,514 Jobs
162,Intas Pharmaceuticals,Pharma | 10k-50k Employees | Fortune India 500 | 23 years old | Ahmedabad +107 more,4.2,2.6k Reviews,13.8k Salaries,51 Jobs
163,Varun Beverages,Beverage | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +245 more,4.0,2.6k Reviews,9.2k Salaries,46 Jobs
164,Thermax Limited,Industrial Machinery | 5k-10k Employees | Public | 43 years old | Pune +146 more,4.2,2.6k Reviews,12k Salaries,16 Jobs
165,Ford Motor,Automobile | 5k-10k Employees | Public | 120 years old | Dearborn +102 more,4.5,2.5k Reviews,14k Salaries,93 Jobs
166,Sodexo,Facility Management Services | 10k-50k Employees | Forbes Global 2000 | 15 years old | Issy les Moulineaux +121 more,4.1,2.5k Reviews,9.9k Salaries,110 Jobs
167,UnitedHealth,Healthcare | 10k-50k Employees | Forbes Global 2000 | 46 years old | Minnetonka +14 more,4.2,2.5k Reviews,23.4k Salaries,10 Jobs
168,Hetero Drugs,Pharma | 1k-5k Employees | 30 years old | Hyderabad/Secunderabad +34 more,3.8,2.5k Reviews,13.2k Salaries,34 Jobs
169,Deutsche Bank,Banking | 10k-50k Employees | Fortune India 500 | 153 years old | Frankfurt +32 more,4.1,2.5k Reviews,28.5k Salaries,564 Jobs
170,Randstad,1k-5k Employees | Conglomerate | 31 years old | Chennai +225 more,3.9,2.5k Reviews,12.9k Salaries,2.3k Jobs
171,Abbott Healthcare,Pharma | 1k-5k Employees | Public | 32 years old | Illinois City +160 more,4.1,2.5k Reviews,10.7k Salaries,166 Jobs
172,Macleods Pharmaceuticals,Pharma | 5k-10k Employees | Public | 37 years old | Mumbai +83 more,3.8,2.5k Reviews,13.1k Salaries,21 Jobs
173,Subros,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +39 more,3.9,2.5k Reviews,12.1k Salaries,3 Jobs
174,VE Commercial Vehicles,Automobile | 1k-5k Employees | 15 years old | Gurgaon/Gurugram +117 more,4.0,2.5k Reviews,12.4k Salaries,9 Jobs
175,Automatic Data Processing (ADP),IT Services & Consulting | 5k-10k Employees | Forbes Global 2000 | 74 years old | New Jersey +16 more,4.2,2.4k Reviews,19.2k Salaries,48 Jobs
176,American Express,Financial Services | 10k-50k Employees | Forbes Global 2000 | 173 years old | New York City +39 more,4.3,2.4k Reviews,19.1k Salaries,95 Jobs
177,CARS24,Internet | 5k-10k Employees | Indian Unicorn | 8 years old | Gurgaon +140 more,3.6,2.4k Reviews,11.4k Salaries,287 Jobs
178,Havells,Electrical Equipment | 5k-10k Employees | Public | 40 years old | Noida +157 more,4.1,2.4k Reviews,12.1k Salaries,74 Jobs
179,Pidilite Industries,Chemicals | 5k-10k Employees | Public | 64 years old | Mumbai +204 more,4.3,2.4k Reviews,8.7k Salaries,30 Jobs
180,Alkem Laboratories,Pharma | 10k-50k Employees | Public | 50 years old | Mumbai +135 more,4.0,2.4k Reviews,8.8k Salaries,20 Jobs
181,Wipro Consumer Care & Lighting,FMCG | 1k-5k Employees | 78 years old | Bangalore/Bengaluru +81 more,3.8,2.3k Reviews,2.8k Salaries,33 Jobs
